scenario_id,degraded_links,degraded_capacity_gbps,offered_load,seed
gray_c75_d2_l03_s101,2,75,0.3,101
gray_c75_d2_l03_s102,2,75,0.3,102
gray_c75_d2_l03_s103,2,75,0.3,103
gray_c75_d2_l05_s101,2,75,0.5,101
gray_c75_d2_l05_s102,2,75,0.5,102
gray_c75_d2_l05_s103,2,75,0.5,103
gray_c75_d2_l07_s101,2,75,0.7,101
gray_c75_d2_l07_s102,2,75,0.7,102
gray_c75_d2_l07_s103,2,75,0.7,103
gray_c75_d4_l03_s101,4,75,0.3,101
gray_c75_d4_l03_s102,4,75,0.3,102
gray_c75_d4_l03_s103,4,75,0.3,103
gray_c75_d4_l05_s101,4,75,0.5,101
gray_c75_d4_l05_s102,4,75,0.5,102
gray_c75_d4_l05_s103,4,75,0.5,103
gray_c75_d4_l07_s101,4,75,0.7,101
gray_c75_d4_l07_s102,4,75,0.7,102
gray_c75_d4_l07_s103,4,75,0.7,103
gray_c75_d8_l03_s101,8,75,0.3,101
gray_c75_d8_l03_s102,8,75,0.3,102
gray_c75_d8_l03_s103,8,75,0.3,103
gray_c75_d8_l05_s101,8,75,0.5,101
gray_c75_d8_l05_s102,8,75,0.5,102
gray_c75_d8_l05_s103,8,75,0.5,103
gray_c75_d8_l07_s101,8,75,0.7,101
gray_c75_d8_l07_s102,8,75,0.7,102
gray_c75_d8_l07_s103,8,75,0.7,103
gray_c50_d2_l03_s101,2,50,0.3,101
gray_c50_d2_l03_s102,2,50,0.3,102
gray_c50_d2_l03_s103,2,50,0.3,103
gray_c50_d2_l05_s101,2,50,0.5,101
gray_c50_d2_l05_s102,2,50,0.5,102
gray_c50_d2_l05_s103,2,50,0.5,103
gray_c50_d2_l07_s101,2,50,0.7,101
gray_c50_d2_l07_s102,2,50,0.7,102
gray_c50_d2_l07_s103,2,50,0.7,103
gray_c50_d4_l03_s101,4,50,0.3,101
gray_c50_d4_l03_s102,4,50,0.3,102
gray_c50_d4_l03_s103,4,50,0.3,103
gray_c50_d4_l05_s101,4,50,0.5,101
gray_c50_d4_l05_s102,4,50,0.5,102
gray_c50_d4_l05_s103,4,50,0.5,103
gray_c50_d4_l07_s101,4,50,0.7,101
gray_c50_d4_l07_s102,4,50,0.7,102
gray_c50_d4_l07_s103,4,50,0.7,103
gray_c50_d8_l03_s101,8,50,0.3,101
gray_c50_d8_l03_s102,8,50,0.3,102
gray_c50_d8_l03_s103,8,50,0.3,103
gray_c50_d8_l05_s101,8,50,0.5,101
gray_c50_d8_l05_s102,8,50,0.5,102
gray_c50_d8_l05_s103,8,50,0.5,103
gray_c50_d8_l07_s101,8,50,0.7,101
gray_c50_d8_l07_s102,8,50,0.7,102
gray_c50_d8_l07_s103,8,50,0.7,103
gray_c25_d2_l03_s101,2,25,0.3,101
gray_c25_d2_l03_s102,2,25,0.3,102
gray_c25_d2_l03_s103,2,25,0.3,103
gray_c25_d2_l05_s101,2,25,0.5,101
gray_c25_d2_l05_s102,2,25,0.5,102
gray_c25_d2_l05_s103,2,25,0.5,103
gray_c25_d2_l07_s101,2,25,0.7,101
gray_c25_d2_l07_s102,2,25,0.7,102
gray_c25_d2_l07_s103,2,25,0.7,103
gray_c25_d4_l03_s101,4,25,0.3,101
gray_c25_d4_l03_s102,4,25,0.3,102
gray_c25_d4_l03_s103,4,25,0.3,103
gray_c25_d4_l05_s101,4,25,0.5,101
gray_c25_d4_l05_s102,4,25,0.5,102
gray_c25_d4_l05_s103,4,25,0.5,103
gray_c25_d4_l07_s101,4,25,0.7,101
gray_c25_d4_l07_s102,4,25,0.7,102
gray_c25_d4_l07_s103,4,25,0.7,103
gray_c25_d8_l03_s101,8,25,0.3,101
gray_c25_d8_l03_s102,8,25,0.3,102
gray_c25_d8_l03_s103,8,25,0.3,103
gray_c25_d8_l05_s101,8,25,0.5,101
gray_c25_d8_l05_s102,8,25,0.5,102
gray_c25_d8_l05_s103,8,25,0.5,103
gray_c25_d8_l07_s101,8,25,0.7,101
gray_c25_d8_l07_s102,8,25,0.7,102
gray_c25_d8_l07_s103,8,25,0.7,103
symmetric_l03_s101,0,100,0.3,101
symmetric_l03_s102,0,100,0.3,102
symmetric_l03_s103,0,100,0.3,103
symmetric_l05_s101,0,100,0.5,101
symmetric_l05_s102,0,100,0.5,102
symmetric_l05_s103,0,100,0.5,103
symmetric_l07_s101,0,100,0.7,101
symmetric_l07_s102,0,100,0.7,102
symmetric_l07_s103,0,100,0.7,103
