cell_id,scenario,foreground_flows,hot_path_groups,background_utilization,seed
coarse-f8-h2-u25,,8,2,0.25,101
coarse-f8-h2-u50,,8,2,0.50,101
coarse-f8-h2-u75,,8,2,0.75,101
coarse-f8-h4-u25,,8,4,0.25,101
coarse-f8-h4-u50,,8,4,0.50,101
coarse-f8-h4-u75,,8,4,0.75,101
coarse-f8-h6-u25,,8,6,0.25,101
coarse-f8-h6-u50,,8,6,0.50,101
coarse-f8-h6-u75,,8,6,0.75,101
coarse-f16-h2-u25,,16,2,0.25,101
coarse-f16-h2-u50,,16,2,0.50,101
coarse-f16-h2-u75,,16,2,0.75,101
coarse-f16-h4-u25,,16,4,0.25,101
coarse-f16-h4-u50,,16,4,0.50,101
coarse-f16-h4-u75,,16,4,0.75,101
coarse-f16-h6-u25,,16,6,0.25,101
coarse-f16-h6-u50,,16,6,0.50,101
coarse-f16-h6-u75,,16,6,0.75,101
coarse-f32-h2-u25,,32,2,0.25,101
coarse-f32-h2-u50,,32,2,0.50,101
coarse-f32-h2-u75,,32,2,0.75,101
coarse-f32-h4-u25,,32,4,0.25,101
coarse-f32-h4-u50,,32,4,0.50,101
coarse-f32-h4-u75,,32,4,0.75,101
coarse-f32-h6-u25,,32,6,0.25,101
coarse-f32-h6-u50,,32,6,0.50,101
coarse-f32-h6-u75,,32,6,0.75,101
