cell_id,foreground_flows,hot_path_groups,background_utilization,episode_count,completed_rounds,completion_rate,low_floor_high_spread_occupancy,valid_completed_rounds,valid_evidence_fraction,recoverable_completed_rounds,recoverable_fraction,persistent_completed_rounds,persistent_fraction,invalid_completed_rounds,invalid_fraction,capacity_profile,main_failure_category,failure_category_counts
coarse-f8-h2-u25,8,2,0.25,26,14,0.538461538,0.419354839,0,0,0,0,0,0,14,1,invalid,capacity_witness_invalid,capacity_witness_invalid=26;round_censored=12
coarse-f8-h2-u50,8,2,0.50,49,27,0.551020408,0.752136752,0,0,0,0,0,0,27,1,invalid,capacity_witness_invalid,capacity_witness_invalid=49;round_censored=22
coarse-f8-h2-u75,8,2,0.75,67,39,0.582089552,0.90397351,0,0,0,0,0,0,39,1,invalid,capacity_witness_invalid,capacity_witness_invalid=67;round_censored=28
coarse-f8-h4-u25,8,4,0.25,9,6,0.666666667,0.993548387,0,0,0,0,0,0,6,1,invalid,capacity_witness_invalid,capacity_witness_invalid=9;round_censored=3
coarse-f8-h4-u50,8,4,0.50,23,6,0.260869565,0.485714286,0,0,0,0,0,0,6,1,invalid,capacity_witness_invalid,capacity_witness_invalid=23;round_censored=17
coarse-f8-h4-u75,8,4,0.75,31,9,0.290322581,0.957711443,0,0,0,0,0,0,9,1,invalid,capacity_witness_invalid,capacity_witness_invalid=31;round_censored=22
coarse-f8-h6-u25,8,6,0.25,69,38,0.550724638,0.808510638,0,0,0,0,0,0,38,1,invalid,capacity_witness_invalid,capacity_witness_invalid=69;round_censored=31
coarse-f8-h6-u50,8,6,0.50,117,70,0.598290598,0.795053004,0,0,0,0,0,0,70,1,invalid,capacity_witness_invalid,capacity_witness_invalid=117;round_censored=47
coarse-f8-h6-u75,8,6,0.75,109,87,0.798165138,0.973724884,0,0,0,0,0,0,87,1,invalid,capacity_witness_invalid,capacity_witness_invalid=109;round_censored=22
coarse-f16-h2-u25,16,2,0.25,761,689,0.905387648,0.891497976,0,0,242,0.351233672,447,0.648766328,0,0,mixed,coarse_scenario_inference_mixed_capacity_classification,coarse_scenario_inference_mixed_capacity_classification=761;round_censored=72
coarse-f16-h2-u50,16,2,0.50,604,537,0.889072848,0.904032258,0,0,0,0,0,0,537,1,invalid,capacity_witness_invalid,capacity_witness_invalid=604;round_censored=67
coarse-f16-h2-u75,16,2,0.75,549,461,0.839708561,0.894909688,0,0,0,0,0,0,461,1,invalid,capacity_witness_invalid,capacity_witness_invalid=549;round_censored=88
coarse-f16-h4-u25,16,4,0.25,641,558,0.870514821,0.8875,0,0,0,0,0,0,558,1,invalid,capacity_witness_invalid,capacity_witness_invalid=641;round_censored=83
coarse-f16-h4-u50,16,4,0.50,395,350,0.886075949,0.908450704,0,0,0,0,0,0,350,1,invalid,capacity_witness_invalid,capacity_witness_invalid=395;round_censored=45
coarse-f16-h4-u75,16,4,0.75,512,461,0.900390625,0.920619555,0,0,0,0,0,0,461,1,invalid,capacity_witness_invalid,capacity_witness_invalid=512;round_censored=51
coarse-f16-h6-u25,16,6,0.25,598,546,0.913043478,0.958047292,546,1,0,0,546,1,0,0,persistent,round_censored,round_censored=52
coarse-f16-h6-u50,16,6,0.50,530,446,0.841509434,0.898423818,0,0,0,0,0,0,446,1,invalid,capacity_witness_invalid,capacity_witness_invalid=530;round_censored=84
coarse-f16-h6-u75,16,6,0.75,359,283,0.788300836,0.908438061,0,0,0,0,0,0,283,1,invalid,capacity_witness_invalid,capacity_witness_invalid=359;round_censored=76
coarse-f32-h2-u25,32,2,0.25,1027,897,0.873417722,0.954186414,0,0,0,0,0,0,897,1,invalid,capacity_witness_invalid,capacity_witness_invalid=1027;round_censored=130
coarse-f32-h2-u50,32,2,0.50,1008,889,0.881944444,0.951417004,0,0,0,0,0,0,889,1,invalid,capacity_witness_invalid,capacity_witness_invalid=1008;round_censored=119
coarse-f32-h2-u75,32,2,0.75,703,572,0.813655761,0.884444444,0,0,0,0,0,0,572,1,invalid,capacity_witness_invalid,capacity_witness_invalid=703;round_censored=131
coarse-f32-h4-u25,32,4,0.25,1053,912,0.866096866,0.935742972,0,0,0,0,0,0,912,1,invalid,capacity_witness_invalid,capacity_witness_invalid=1053;round_censored=141
coarse-f32-h4-u50,32,4,0.50,1064,901,0.846804511,0.902662994,0,0,0,0,0,0,901,1,invalid,capacity_witness_invalid,capacity_witness_invalid=1064;round_censored=163
coarse-f32-h4-u75,32,4,0.75,551,432,0.784029038,0.844106464,0,0,0,0,0,0,432,1,invalid,capacity_witness_invalid,capacity_witness_invalid=551;round_censored=119
coarse-f32-h6-u25,32,6,0.25,676,593,0.877218935,0.954727794,0,0,0,0,0,0,593,1,invalid,capacity_witness_invalid,capacity_witness_invalid=676;round_censored=83
coarse-f32-h6-u50,32,6,0.50,956,862,0.90167364,0.94605598,0,0,0,0,0,0,862,1,invalid,capacity_witness_invalid,capacity_witness_invalid=956;round_censored=94
coarse-f32-h6-u75,32,6,0.75,650,541,0.832307692,0.888183981,0,0,0,0,0,0,541,1,invalid,capacity_witness_invalid,capacity_witness_invalid=650;round_censored=109
