cell_id,scenario,foreground_flows,hot_path_groups,background_utilization,seed,run_id,flow_id,round_index,event_seq,event_time_ps,aligned_time_ps,F_ps,S_ps,S_ref_ps,actual_cwnd_bytes,actual_state,hold,round_complete_marker
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,5,0,25586,296222721,14940000,5813440,11703840,17922880,262926,increase,0,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,16,0,25601,296301441,14608000,1249280,13606880,16030080,262926,increase,0,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,2,0,25604,296306561,14608000,917280,20916000,16435680,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,2,0,27048,310886721,29188160,1581280,19524000,16435680,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,3,0,25651,296886721,14608000,2493440,14861280,17185280,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,3,0,27106,311494721,29216000,1654880,15699840,17185280,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,4,0,25684,297218721,14608000,2567040,12284000,14207520,262926,increase,0,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,15,0,25982,300290561,15350720,0,22824160,16026720,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,14,0,25986,300538721,14940000,1244160,15609120,18924000,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,7,0,26331,303863841,14625120,489440,18011840,18580000,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,7,0,27789,318726721,29488000,3169280,13624000,18580000,262926,increase,0,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,12,0,26784,308253441,14354720,2161440,19762560,19920000,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,13,0,26908,309502721,14608000,1897920,15624480,16268000,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,13,0,28308,324110721,29216000,2245280,12600640,16268000,262926,increase,0,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,6,0,27412,314561441,14608000,2909280,16346720,18181280,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,15,1,27458,314982721,14692160,1502560,20161600,22824160,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,14,1,27475,315151841,14613120,2240160,11873280,15609120,262926,increase,0,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,9,0,28052,321454721,14608000,2567040,17195520,14876640,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,9,0,29549,336067841,29221120,3905280,14602880,14876640,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,12,1,28193,322871681,14618240,253280,21917120,19762560,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,12,1,29703,337710721,29457280,248160,27217120,19762560,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,8,0,28228,323272161,14608000,990880,16678720,15277120,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,1,0,28346,324452961,14618240,473600,19362560,16179040,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,16,1,28444,325438721,14620000,1581280,15845280,15598880,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,5,1,28459,325514721,14684000,1338240,21173920,18592000,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,2,1,28437,325414721,14528000,3744160,22221280,19524000,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,3,1,28564,326513441,15018720,658880,16268000,15699840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,3,1,30065,341121441,29626720,1581280,16009600,15699840,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,4,1,28573,326592161,14681600,3573280,23055200,19899520,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,4,1,30069,341200161,29289600,3499680,22723200,19899520,262926,hold,1,1
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,28693,327767841,14534400,2914400,23156160,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,30171,342358721,29125280,1072000,26653440,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,31720,357502721,44269280,258400,29702720,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,33145,371911841,58678400,858880,31930400,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,34691,387546721,74313280,4033280,28175840,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,36123,402118721,88885280,82880,30709280,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,37713,416893441,103660000,0,25978880,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,39315,432497441,119264000,1244160,26394720,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,40760,447258721,134025280,1576160,25129120,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,42183,462132001,148898560,917280,19753280,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,43672,476766721,163533280,344000,21410560,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,45218,491754721,178521280,124000,23696160,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,46729,506481441,193248000,533280,23160000,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,48156,521089441,207856000,792000,22436000,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,49587,535582721,222349280,0,22701280,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,50991,549973441,236740000,257280,19916000,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,52441,564693281,251459840,0,23026720,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,53953,579264641,266031200,328480,25346720,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,55513,594486721,281253280,2540640,24673920,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,56903,609014721,295781280,4899680,23094880,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,58449,624752161,311518720,2627200,25514080,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,59934,639573441,326340000,253280,26237440,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,61452,654300161,341066720,372000,24784800,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,62994,668762721,355529280,454560,23706240,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,64483,683594721,370361280,1730560,21509280,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,65850,698050881,384817440,433440,22213120,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,67196,712606561,399373120,532960,23010880,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,68518,726961281,413727840,0,26024000,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,69936,741494721,428261280,0,24803840,16019840,262926,hold,1,0
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,11,0,71420,756093441,442860000,1838720,24714560,16019840,262926,hold,1,0
