cell_id,scenario,foreground_flows,hot_path_groups,background_utilization,seed,run_id,episode_count,round_count,completed_rounds,valid_completed_rounds,censored_rounds,completion_rate,censor_rate,median_delta_S,literal_no_progress_count,literal_no_progress_rate,no_progress_rate_1us,no_progress_rate_2us,no_progress_rate_4us,low_floor_fraction,completed_round_flow_count,all_valid_rounds_match_scenario,min_capacity_margin_gbps,configured_background_gbps,measured_background_gbps,L_foreground_gbps,C_healthy_gbps,C_hot_residual_gbps,C_effective_residual_gbps,entropy_coverage,physical_path_coverage,mean_qdelay_ps,low_floor_high_spread_occupancy,mean_hold_duration_ps,mean_actual_cwnd_bytes,mean_fifo_depth,virtual_replacements,admission_pass,admission_fail,failed_predicates
coarse-f16-h2-u25,invalid,16,2,0.25,101,coarse_coarse-f16-h2-u25_s101,761,761,689,0,72,0.9053876478318003,0.09461235216819974,,0,,0.0,0.0,0.0,,16,0,,,,,,,,,,,0.891497975708502,20650387.17345598,262926.0,0.4178712220762155,5760,11543,142,coarse_scenario_inference_mixed_capacity_classification;round_censored
coarse-f16-h2-u50,invalid,16,2,0.5,101,coarse_coarse-f16-h2-u50_s101,604,604,537,0,67,0.8890728476821192,0.11092715231788079,,0,,0.0,0.0,0.0,,16,0,,,,,,,,,,,0.9040322580645161,26628694.569536425,262206.8410596026,0.5016556291390728,4504,13462,103,capacity_classification_invalid;capacity_witness_invalid:background_id 1 measured delivery 46.7841 Gbps differs from configured 50 Gbps by more than 5%;coarse_scenario_inference_invalid_completed_evidence;round_censored
coarse-f16-h2-u75,invalid,16,2,0.75,101,coarse_coarse-f16-h2-u75_s101,549,549,461,0,88,0.8397085610200364,0.16029143897996356,,0,,0.0,0.0,0.0,,15,0,,,,,,,,,,,0.8949096880131363,28699833.584699452,249766.03278688525,0.639344262295082,3948,15566,69,capacity_classification_invalid;capacity_witness_invalid:background_id 0 measured delivery 66.1669 Gbps differs from configured 75 Gbps by more than 5%;coarse_scenario_inference_invalid_completed_evidence;round_censored
coarse-f16-h4-u25,invalid,16,4,0.25,101,coarse_coarse-f16-h4-u25_s101,641,641,558,0,83,0.8705148205928237,0.1294851794071763,,0,,0.0,0.0,0.0,,16,0,,,,,,,,,,,0.8875,22197117.248049922,259131.46021840873,0.44773790951638065,4676,10135,102,capacity_classification_invalid;capacity_witness_invalid:background_id 0 measured delivery 23.3107 Gbps differs from configured 25 Gbps by more than 5%;coarse_scenario_inference_invalid_completed_evidence;round_censored
coarse-f16-h4-u50,invalid,16,4,0.5,101,coarse_coarse-f16-h4-u50_s101,395,395,350,0,45,0.8860759493670886,0.11392405063291139,,0,,0.0,0.0,0.0,,16,0,,,,,,,,,,,0.9084507042253521,23432532.637974683,262209.0151898734,0.5392405063291139,2906,6658,73,capacity_classification_invalid;capacity_witness_invalid:background_id 0 measured delivery 31.7057 Gbps differs from configured 50 Gbps by more than 5%;coarse_scenario_inference_invalid_completed_evidence;round_censored
coarse-f16-h4-u75,invalid,16,4,0.75,101,coarse_coarse-f16-h4-u75_s101,512,512,461,0,51,0.900390625,0.099609375,,0,,0.0,0.0,0.0,,16,0,,,,,,,,,,,0.920619554695063,26815503.125,253610.57421875,0.537109375,3799,12438,79,capacity_classification_invalid;capacity_witness_invalid:background_id 0 measured delivery 33.4258 Gbps differs from configured 75 Gbps by more than 5%;coarse_scenario_inference_invalid_completed_evidence;round_censored
coarse-f16-h6-u25,persistent,16,6,0.25,101,coarse_coarse-f16-h6-u25_s101,598,598,546,546,52,0.9130434782608695,0.08695652173913043,-0.0024629601154721814,279,0.510989010989011,0.6172161172161172,0.6904761904761905,0.8168498168498168,1.0,14,1,19.886253311517976,150.0,146.804614226056,1327.9367034013246,1000.0,450.0,1450.0,5,3,11479959.322223129,0.958047292143402,30009426.361204013,262926.0,0.38127090301003347,4473,10181,113,round_censored
coarse-f16-h6-u50,invalid,16,6,0.5,101,coarse_coarse-f16-h6-u50_s101,530,530,446,0,84,0.8415094339622642,0.15849056603773584,,0,,0.0,0.0,0.0,,16,0,,,,,,,,,,,0.8984238178633975,27980428.086792454,249146.69433962263,0.569811320754717,3790,9333,82,capacity_classification_invalid;capacity_witness_invalid:background_id 0 measured delivery 42.5053 Gbps differs from configured 50 Gbps by more than 5%;coarse_scenario_inference_invalid_completed_evidence;round_censored
coarse-f16-h6-u75,invalid,16,6,0.75,101,coarse_coarse-f16-h6-u75_s101,359,359,283,0,76,0.7883008356545961,0.2116991643454039,,0,,0.0,0.0,0.0,,15,0,,,,,,,,,,,0.9084380610412927,41272873.55153203,227444.41782729805,0.7075208913649025,2536,10963,63,capacity_classification_invalid;capacity_witness_invalid:background_id 0 measured delivery 45.2523 Gbps differs from configured 75 Gbps by more than 5%;coarse_scenario_inference_invalid_completed_evidence;round_censored
coarse-f32-h2-u25,invalid,32,2,0.25,101,coarse_coarse-f32-h2-u25_s101,1027,1027,897,0,130,0.8734177215189873,0.12658227848101267,,0,,0.0,0.0,0.0,,30,0,,,,,,,,,,,0.9541864139020537,34609832.28821811,222829.17624148005,0.3193768257059396,7380,8960,164,capacity_classification_invalid;capacity_witness_invalid:background_id 1 measured delivery 23.5504 Gbps differs from configured 25 Gbps by more than 5%;coarse_scenario_inference_invalid_completed_evidence;round_censored
