cell_id,scenario,foreground_flows,hot_path_groups,background_utilization,seed,run_id,flow_id,round_index,event_seq,event_time_ps,aligned_time_ps,F_ps,S_ps,S_ref_ps,actual_cwnd_bytes,actual_state,hold,round_complete_marker
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,12,0,22634,295473121,14522400,575040,28471520,28714560,262926,hold,1,1
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,5,0,22756,296801121,14608000,1827680,29980960,29530880,262926,hold,1,1
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,9,0,22780,297006721,14396000,1903040,28815520,31360320,262926,hold,1,0
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,9,0,24009,311450721,28840000,2927040,23781120,31360320,262926,hold,1,1
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,4,0,23000,299446881,14602880,349120,21056320,18164160,262926,hold,1,0
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,4,0,24234,314133601,29289600,0,20173280,18164160,262926,hold,1,1
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,8,0,23203,301849601,15503040,253280,33249120,30627840,262926,hold,1,0
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,8,0,24457,316614721,30268160,833440,32951840,30627840,262926,hold,1,1
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,2,0,23274,302670561,15350240,646880,22165280,22507520,262926,hold,1,0
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,2,0,24519,317470721,30150400,585280,22063840,22507520,262926,hold,1,0
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,2,0,25769,332466561,45146240,1137440,26666080,22507520,262926,hold,1,0
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,2,0,27053,348293281,60972960,1305120,33144160,22507520,262926,hold,1,0
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,2,0,28409,363897281,76576960,3519840,35052160,22507520,262926,hold,1,0
coarse-f16-h6-u25,persistent,16,6,0.25,101,confirmation_coarse-f16-h6-u25_s101,2,0,29708,378558721,91238400,3573280,38496160,22507520,262926,hold,1,0
