mode,scenario,seed,degraded_links,degraded_capacity_gbps
original_prism,recoverable,13,8,25
prism_recycle,recoverable,13,8,25
full_prism,recoverable,13,8,25
original_prism,recoverable,14,8,25
prism_recycle,recoverable,14,8,25
full_prism,recoverable,14,8,25
original_prism,recoverable,15,8,25
prism_recycle,recoverable,15,8,25
full_prism,recoverable,15,8,25
original_prism,persistent,13,8,25
prism_recycle,persistent,13,8,25
full_prism,persistent,13,8,25
original_prism,persistent,14,8,25
prism_recycle,persistent,14,8,25
full_prism,persistent,14,8,25
original_prism,persistent,15,8,25
prism_recycle,persistent,15,8,25
full_prism,persistent,15,8,25
